Address with post code (Gas Stations),Address,City,Post Code,Franchise (or private),Highway,Link
"6100 Kiskunfélegyháza, Csongrádi út 18/A (mol)","Kiskunfélegyháza, Csongrádi út 18/A",Kiskunfélegyháza,6100,mol,0,https://holtankoljak.net/mol_Kiskunfelegyhaza_Csongradiut18A
"4484 Ibrány, Vár utca 2. (Red Oil Töltőállomás)","Ibrány, Vár utca 2.",Ibrány,4484,Red Oil Töltőállomás,0,https://holtankoljak.net/Red_Oil_Toltoallomas_Ibrany_Varutca2
"6913 Csanádpalota, Hrsz 0200/23 (mol-partner)","Csanádpalota, Hrsz 0200/23",Csanádpalota,6913,mol-partner,0,https://holtankoljak.net/mol-partner_Csanadpalota_Hrsz020023
"2364 Ócsa, Kiss János út 1. (oil)","Ócsa, Kiss János út 1.",Ócsa,2364,oil,0,https://holtankoljak.net/oil_ocsa_kissjanosut1
"9941 Őriszentpéter, Városszer 22. (avia)","Őriszentpéter, Városszer 22.",Őriszentpéter,9941,avia,0,https://holtankoljak.net/avia_oriszentpeter_Varosszer22
"6221 Akasztó, Fő u. 1. (MOL Partner+)","Akasztó, Fő u. 1.",Akasztó,6221,MOL Partner+,0,https://holtankoljak.net/MOL_Partner+_Akaszto_Fou1
"1239 Budapest XXIII, Bevásárló u. 2. Soroksár (auchan)","Budapest XXIII, Bevásárló u. 2. Soroksár",Budapest XXIII,1239,auchan,0,https://holtankoljak.net/auchan_budapest_xxiii_bevasarlou2soroksar
"8360 Keszthely, Csapás út - Gyenesdiási körforgalomnál (Oranges OIL Company)","Keszthely, Csapás út - Gyenesdiási körforgalomnál",Keszthely,8360,Oranges OIL Company,0,https://holtankoljak.net/oranges_oil_company_keszthely_csapasut-gyenesdiasikorforgalomnal
"1118 Budapest XI, Budaörsi út 126. (nkm-mobilitas)","Budapest XI, Budaörsi út 126.",Budapest XI,1118,nkm-mobilitas,0,https://holtankoljak.net/nkm-mobilitas_budapest_xi_budaorsiut126
"1146 Budapest XIV, Hungária krt. 175-177. (omv)","Budapest XIV, Hungária krt. 175-177.",Budapest XIV,1146,omv,0,https://holtankoljak.net/omv_budapest_xiv_hungariakrt175-177
"7200 Dombóvár, Juhász Gyula u. 1. (shell)","Dombóvár, Juhász Gyula u. 1.",Dombóvár,7200,shell,0,https://holtankoljak.net/shell_Dombovar_JuhaszGyulau1
"3392 Füzesabony, Arany János út (Magán kút)","Füzesabony, Arany János út",Füzesabony,3392,Magán kút,0,https://holtankoljak.net/Magan_kut_Fuzesabony_AranyJanosut
"8360 Keszthely, Tapolcai út  (mol)","Keszthely, Tapolcai út",Keszthely,8360,mol,0,https://holtankoljak.net/mol_Keszthely_Tapolcaiut
"6041 Kerekegyháza, Falu dülő 2. (magán)","Kerekegyháza, Falu dülő 2.",Kerekegyháza,6041,magán,0,https://holtankoljak.net/kereken_palya_kft__kerekegyhaza_faludulo2#tartalom
"1144 Budapest XIV, Füredi út 63. (shell)","Budapest XIV, Füredi út 63.",Budapest XIV,1144,shell,0,https://holtankoljak.net/shell_budapest_xiv_furediut63
"4233 Balkány, 0139/17 hrsz. (Oplus benzinkút)","Balkány, 0139/17 hrsz.",Balkány,4233,Oplus benzinkút,0,https://holtankoljak.net/Oplus_benzinkut_Balkany_013917hrsz
"5121 Jászjákóhalma, Fő út 130/b (31. sz. főút) (mol)","Jászjákóhalma, Fő út 130/b",Jászjákóhalma,5121,mol,0,https://holtankoljak.net/mol_jaszjakohalma_fout130b31szfout#tartalom
"3593 Hejőbába, Tulipán utca 3. (Buffalo Petrol)","Hejőbába, Tulipán utca 3.",Hejőbába,3593,Buffalo Petrol,0,https://holtankoljak.net/Buffalo_Petrol_Hejobaba_Tulipanutca3
"6933 Nagylak, határátkelőhely hrsz.22/5 (lukoil)","Nagylak, határátkelőhely hrsz.22/5",Nagylak,6933,lukoil,0,https://holtankoljak.net/lukoil_Nagylak_hataratkelohelyhrsz225
"8420 Zirc, Állomás utca 5. (oil)","Zirc, Állomás utca 5.",Zirc,8420,oil,0,https://holtankoljak.net/oil_Zirc_allomasutca5
"8900 Zalaegerszeg, Zrínyi Miklós út 20.  (mol)","Zalaegerszeg, Zrínyi Miklós út 20.",Zalaegerszeg,8900,mol,0,https://holtankoljak.net/mol_Zalaegerszeg_ZrinyiMiklosut20
"8978 Rédics, 86.sz.fkl. út  (mol)","Rédics, 86.sz.fkl. út",Rédics,8978,mol,0,https://holtankoljak.net/mol_Redics_86szfklut
"8043 Iszkaszentgyörgy, 801-es út mellett (AVIA)","Iszkaszentgyörgy, 801-es út mellett",Iszkaszentgyörgy,8043,AVIA,0,https://holtankoljak.net/avia_iszkaszentgyorgy_801-esutmellett
"9081 Győrújbarát, Győr (omv)","Győrújbarát, Győr",Győrújbarát,9081,omv,0,https://holtankoljak.net/omv_Gyorujbarat_Gyor
"2220 Vecsés, 4. sz. főút (shell)","Vecsés, 4. sz. főút",Vecsés,2220,shell,0,https://holtankoljak.net/shell_Vecses_4szfout
"2628 Szob, Dózsa György út. hrsz. 179/15 (OIL!)","Szob, Dózsa György út. hrsz. 179/15",Szob,2628,OIL!,0,https://holtankoljak.net/OIL!_Szob_DozsaGyorgyuthrsz17915
"2365 Inárcs, M5 autópálya 82. kmsz jobb (omv)","Inárcs, M5 autópálya 82. kmsz jobb",Inárcs,2365,omv,1,https://holtankoljak.net/omv_Inarcs_M5autopalya82kmszjobb
"8130 Enying, Dózsa Gy. Út 119. (avia)","Enying, Dózsa Gy. Út 119.",Enying,8130,avia,0,https://holtankoljak.net/avia_enying_dozsagyut119
"8900 Zalaegerszeg, Göcseji út 26. (omv)","Zalaegerszeg, Göcseji út 26.",Zalaegerszeg,8900,omv,0,https://holtankoljak.net/omv_Zalaegerszeg_Gocsejiut26
"4434 Kálmánháza, M3 ap. Kálmánháza JOBB OLDAL (mobil-petrol)","Kálmánháza, M3 ap. Kálmánháza JOBB OLDAL",Kálmánháza,4434,mobil-petrol,1,https://holtankoljak.net/mobil-petrol_Kalmanhaza_M3apKalmanhazaJOBBOLDAL
"7432 Hetes, Petőfi Sándor utca 1. (mol-partner)","Hetes, Petőfi Sándor utca 1.",Hetes,7432,mol-partner,0,https://holtankoljak.net/mol-partner_Hetes_PetofiSandorutca1
"1146 Budapest XIV, Vágány u. 21. (XIV.) (mol)","Budapest XIV, Vágány u. 21.",Budapest XIV,1146,mol,0,https://holtankoljak.net/mol_budapest_vaganyu21xiv
"3300 Eger, TESCO Áruház Rákóczi út 100. (shell)","Eger, TESCO Áruház Rákóczi út 100.",Eger,3300,shell,0,https://holtankoljak.net/shell_Eger_TESCOaruhazRakocziut100
"7695 Mecseknádasd, Kültelek 1. 070/1hrsz (lukoil)","Mecseknádasd, Kültelek 1. 070/1hrsz",Mecseknádasd,7695,lukoil,0,https://holtankoljak.net/lukoil_Mecseknadasd_Kultelek10701hrsz
"1188 Budapest XVIII, Alacskai út 1. (omv)","Budapest XVIII, Alacskai út 1.",Budapest XVIII,1188,omv,0,https://holtankoljak.net/omv_budapest_xviii_alacskaiut1
"3281 Karácsond, M3, Karácsond Dél (omv)","Karácsond, M3, Karácsond Dél",Karácsond,3281,omv,1,https://holtankoljak.net/omv_karacsond_m3karacsondeszak#tartalom
"9026 Győr, Nagymegyeri út (mol)","Győr, Nagymegyeri út",Győr,9026,mol,0,https://holtankoljak.net/mol_Gyor_Nagymegyeriut
"1214 Budapest XXI, Csepel, Rákóczi Ferenc út 182. (shell)","Budapest XXI, Csepel, Rákóczi Ferenc út 182.",Budapest XXI,1214,shell,0,https://holtankoljak.net/shell_budapest_xxi_csepelrakocziferencut182
"8200 Veszprém, Almádi u. 17/1 (mol)","Veszprém, Almádi u. 17/1",Veszprém,8200,mol,0,https://holtankoljak.net/mol_Veszprem_Almadiu171
"3000 Hatvan, Csányi út (Sport u. 1.) (mol)","Hatvan, Csányi út",Hatvan,3000,mol,0,https://holtankoljak.net/mol_hatvan_csanyiutsportu1
"2837 Vértesszőlős, külterület 094/2 hrsz (magán)","Vértesszőlős, külterület 094/2 hrsz",Vértesszőlős,2837,magán,0,https://holtankoljak.net/magan_Vertesszolos_kulterulet0942hrsz
"6000 Kecskemét, Dunaföldvári út 4. (omv)","Kecskemét, Dunaföldvári út 4.",Kecskemét,6000,omv,0,https://holtankoljak.net/omv_Kecskemet_Dunafoldvariut4
"8172 Balatonvilágos, Balatonakarattya 71.sz. föút  (mol)","Balatonvilágos, Balatonakarattya 71.sz. föút",Balatonvilágos,8172,mol,0,https://holtankoljak.net/mol_Balatonvilagos_Balatonakarattya71szfout
"3526 Miskolc, Boldva u. 2. (mol)","Miskolc, Boldva u. 2.",Miskolc,3526,mol,0,https://holtankoljak.net/mol_Miskolc_Boldvau2
"7150 Bonyhád, Dr. Kolta László u. (magán)","Bonyhád, Dr. Kolta László u.",Bonyhád,7150,magán,0,https://holtankoljak.net/bayer_kft__bonyhad_drkoltalaszlou#tartalom
"5540 Szarvas, Szabadság út 51-53. (mol)","Szarvas, Szabadság út 51-53.",Szarvas,5540,mol,0,https://holtankoljak.net/mol_szarvas_szabadsagut51-53
"8790 Zalaszentgrót, Türjei u. és Móricz Zsigmond u. (Oranges Oil Company)","Zalaszentgrót, Türjei u. és Móricz Zsigmond u.",Zalaszentgrót,8790,Oranges Oil Company,0,https://holtankoljak.net/Oranges_Oil_Company_Zalaszentgrot_TurjeiuesMoriczZsigmondu
"6353 Dusnok, Bercsényi u. 50. (51. sz. főút) (mol-partner)","Dusnok, Bercsényi u. 50.",Dusnok,6353,mol-partner,0,https://holtankoljak.net/mol-partner_dusnok_bercsenyiu5051szfout
"7013 Cece, Vasút u. 2. (omv)","Cece, Vasút u. 2.",Cece,7013,omv,0,https://holtankoljak.net/omv_Cece_Vasutu2
"2310 Szigetszentmiklós, Csepeli út 19. (shell)","Szigetszentmiklós, Csepeli út 19.",Szigetszentmiklós,2310,shell,0,https://holtankoljak.net/shell_Szigetszentmiklos_Csepeliut19
"8630 Balatonboglár, Klapka u. 32. (shell)","Balatonboglár, Klapka u. 32.",Balatonboglár,8630,shell,0,https://holtankoljak.net/shell_Balatonboglar_Klapkau32
"3580 Tiszaújváros, 634/11 hrsz. 35-ös főút mellett (Hunpetrol)","Tiszaújváros, 634/11 hrsz. 35-ös főút mellett",Tiszaújváros,3580,Hunpetrol,0,https://holtankoljak.net/hunpetrol_tiszaujvaros_63411hrsz35-osfoutmellett
"1149 Budapest XIV, Egressy út 31-35. (shell)","Budapest XIV, Egressy út 31-35.",Budapest XIV,1149,shell,0,https://holtankoljak.net/shell_budapest_xiv_egressyut31-35
"6527 Nagybaracska, Bajai út 34. (AVIA)","Nagybaracska, Bajai út 34.",Nagybaracska,6527,AVIA,0,https://holtankoljak.net/AVIA_Nagybaracska_Bajaiut34
"7370 Sásd, Noszlopy Gáspár u.  (mol)","Sásd, Noszlopy Gáspár u.",Sásd,7370,mol,0,https://holtankoljak.net/mol_Sasd_NoszlopyGasparu
"9700 Szombathely, Söptei út 78. (concordia_szombathely_kft_)","Szombathely, Söptei út 78.",Szombathely,9700,concordia_szombathely_kft_,0,https://holtankoljak.net/concordia_szombathely_kft__Szombathely_Sopteiut78
"6700 Szeged, Bajai út 2-4. (shell)","Szeged, Bajai út 2-4.",Szeged,6700,shell,0,https://holtankoljak.net/shell_szeged_bajaiut2-4
"1021 Budapest II, Hűvösvölgyi út 136. (mol)","Budapest II, Hűvösvölgyi út 136.",Budapest II,1021,mol,0,https://holtankoljak.net/mol_Budapest_Huvosvolgyiut136
"5054 Jászalsószentgyörgy, Béke út 1/C (avia)","Jászalsószentgyörgy, Béke út 1/C",Jászalsószentgyörgy,5054,avia,0,https://holtankoljak.net/avia_Jaszalsoszentgyorgy_Bekeut1C
"4900 Fehérgyarmat, Mártírok útja 12. (magán)","Fehérgyarmat, Mártírok útja 12.",Fehérgyarmat,4900,magán,0,https://holtankoljak.net/grovi_kft__fehergyarmat_martirokutja12
"2083 Solymár, Rózsika u. 2. (shell)","Solymár, Rózsika u. 2.",Solymár,2083,shell,0,https://holtankoljak.net/shell_Solymar_Rozsikau2
"2481 Velence, M7. autópálya I. észak (mol)","Velence, M7. autópálya I. észak",Velence,2481,mol,1,https://holtankoljak.net/mol_Velence_M7autopalyaIeszak
"8800 Nagykanizsa, Camping  (mol)","Nagykanizsa, Camping",Nagykanizsa,8800,mol,0,https://holtankoljak.net/mol_Nagykanizsa_Camping
"7100 Szekszárd, M6 I. jobb oldal (mol)","Szekszárd, M6 I. jobb oldal",Szekszárd,7100,mol,1,https://holtankoljak.net/mol_Szekszard_M6Ijobboldal
"4765 Csenger, Ady Endre u. 113. (mol)","Csenger, Ady Endre u. 113.",Csenger,4765,mol,0,https://holtankoljak.net/mol_Csenger_AdyEndreu113
"2330 Dunaharaszti, 8601 hrsz. (magán)","Dunaharaszti, 8601 hrsz.",Dunaharaszti,2330,magán,0,https://holtankoljak.net/magan_Dunaharaszti_8601hrsz
"2454 Iváncsa, Hunyadi utca 782/1. (Magán kút)","Iváncsa, Hunyadi utca 782/1.",Iváncsa,2454,Magán kút,0,https://holtankoljak.net/Magan_kut_Ivancsa_Hunyadiutca7821
"2898 Kocs, Kis út 6. (Magán kút)","Kocs, Kis út 6.",Kocs,2898,Magán kút,0,https://holtankoljak.net/Magan_kut_Kocs_Kisut6
"2890 Tata, Remeteségpuszta dél M1 (shell)","Tata, Remeteségpuszta dél M1",Tata,2890,shell,1,https://holtankoljak.net/shell_Tata_RemetesegpusztadelM1
"2943 Bábolna, Rákóczi út, 107/1 hrsz. (Bábolna Sped )","Bábolna, Rákóczi út, 107/1 hrsz.",Bábolna,2943,Bábolna Sped ,0,https://holtankoljak.net/babolna_sped__babolna_rakocziut1071hrsz
"1195 Budapest XIX, Méta u. - Zádor s. (mol)","Budapest XIX, Méta u. - Zádor s.",Budapest XIX,1195,mol,0,https://holtankoljak.net/mol_Budapest_MetauZadors
"6630 Mindszent, Napkelet utca 3/b (omv)","Mindszent, Napkelet utca 3/b",Mindszent,6630,omv,0,https://holtankoljak.net/omv_Mindszent_Napkeletutca3b
"9300 Csorna, Soproni út 21. (mol)","Csorna, Soproni út 21.",Csorna,9300,mol,0,https://holtankoljak.net/mol_Csorna_Soproniut21
"9221 Levél, József Attila utca 1. (oil)","Levél, József Attila utca 1.",Levél,9221,oil,0,https://holtankoljak.net/oil_Level_JozsefAttilautca1
"2092 Budakeszi, Budaörsi u. 2749/8 hrsz. (mol)","Budakeszi, Budaörsi u. 2749/8 hrsz.",Budakeszi,2092,mol,0,https://holtankoljak.net/mol_Budakeszi_Budaorsiu27498hrsz
"9600 Sárvár, Ikervári út 18/A (Avia)","Sárvár, Ikervári út 18/A",Sárvár,9600,Avia,0,https://holtankoljak.net/Avia_Sarvar_Ikervariut18A
"6758 Röszke, 0112/60 hrsz. 172 km M5 Nyugat (omv)","Röszke, 0112/60 hrsz. 172 km M5 Nyugat",Röszke,6758,omv,1,https://holtankoljak.net/omv_Roszke_011260hrsz172kmM5Nyugat
"1097 Budapest IX, Gyáli út (M5), Ecseri út 9. (lukoil)","Budapest IX, Gyáli út",Budapest IX,1097,lukoil,0,https://holtankoljak.net/lukoil_budapest_ix_gyaliutm5ecseriut9
"5600 Békéscsaba, Sportcsarnok (mol)","Békéscsaba, Sportcsarnok",Békéscsaba,5600,mol,0,https://holtankoljak.net/mol_Bekescsaba_Sportcsarnok
"2120 Dunakeszi, 2/A főút Kelet (shell)","Dunakeszi, 2/A főút Kelet",Dunakeszi,2120,shell,0,https://holtankoljak.net/shell_Dunakeszi_2AfoutKelet
"3014 Hort, Kossuth u. 198. 02/6 hrsz. (OIL!)","Hort, Kossuth u. 198. 02/6 hrsz.",Hort,3014,OIL!,0,https://holtankoljak.net/OIL!_Hort_Kossuthu198026hrsz
"1095 Budapest IX, Mester u. 89. (omv)","Budapest IX, Mester u. 89.",Budapest IX,1095,omv,0,https://holtankoljak.net/omv_budapest_ix_mesteru89
"6050 Lajosmizse, Gyártelep 2. (AVIA)","Lajosmizse, Gyártelep 2.",Lajosmizse,6050,AVIA,0,https://holtankoljak.net/AVIA_Lajosmizse_Gyartelep2
"2030 Érd, Ercsi út hrsz. 26297/2 (mol)","Érd, Ercsi út hrsz. 26297/2",Érd,2030,mol,0,https://holtankoljak.net/mol_erd_Ercsiuthrsz262972
"4600 Kisvárda, Hármas út 8/a (Oplus benzinkút)","Kisvárda, Hármas út 8/a",Kisvárda,4600,Oplus benzinkút,0,https://holtankoljak.net/Oplus_benzinkut_Kisvarda_Harmasut8a
"1211 Budapest XXI, Csepel Művek Főkapu, Színesfém u. 23. (magán)","Budapest XXI, Csepel Művek Főkapu, Színesfém u. 23.",Budapest XXI,1211,magán,0,https://holtankoljak.net/magan_budapest_xxi_csepelmuvekfokapuszinesfemu23
"6900 Makó, Aradi u. 117. (shell)","Makó, Aradi u. 117.",Makó,6900,shell,0,https://holtankoljak.net/shell_Mako_Aradiu117
"5720 Sarkad, Vásár tér 1-3 (mol)","Sarkad, Vásár tér 1-3",Sarkad,5720,mol,0,https://holtankoljak.net/mol_sarkad_vasarter1-3#tartalom
"7020 Dunaföldvár, 6-os út 84 (lukoil)","Dunaföldvár, 6-os út 84",Dunaföldvár,7020,lukoil,0,https://holtankoljak.net/lukoil_dunafoldvar_6-osut84
"1031 Budapest III, Gémeskút u. 12. (mol)","Budapest III, Gémeskút u. 12.",Budapest III,1031,mol,0,https://holtankoljak.net/mol_Budapest_Gemeskutu12
"3860 Encs, 3.sz.fkl.út (mol)","Encs, 3.sz.fkl.út",Encs,3860,mol,0,https://holtankoljak.net/mol_Encs_3szfklut
"4080 Hajdúnánás, Polgári u. 100. (Nánás Transport Kft)","Hajdúnánás, Polgári u. 100.",Hajdúnánás,4080,Nánás Transport Kft,0,https://holtankoljak.net/Nanas_Transport_Kft_Hajdunanas_Polgariu100
"5000 Szolnok, Tószegi út 5/a. (shell)","Szolnok, Tószegi út 5/a.",Szolnok,5000,shell,0,https://holtankoljak.net/shell_Szolnok_Toszegiut5a
"8900 Zalaegerszeg, Teskándi út 38. (mol-partner)","Zalaegerszeg, Teskándi út 38.",Zalaegerszeg,8900,mol-partner,0,https://holtankoljak.net/mol-partner_Zalaegerszeg_Teskandiut38
"3213 Atkár, Fő u. 89. (magán)","Atkár, Fő u. 89.",Atkár,3213,magán,0,https://holtankoljak.net/magan_Atkar_Fou89
"1103 Budapest X, Gyömrői út 56-62. (lukoil)","Budapest X, Gyömrői út 56-62.",Budapest X,1103,lukoil,0,https://holtankoljak.net/lukoil_budapest_x_gyomroiut56-62
"9900 Körmend, Rákóczi út 124. (shell)","Körmend, Rákóczi út 124.",Körmend,9900,shell,0,https://holtankoljak.net/shell_Kormend_Rakocziut124
"9500 Celldömölk, Ostffy tér  (mol)","Celldömölk, Ostffy tér",Celldömölk,9500,mol,0,https://holtankoljak.net/mol_Celldomolk_Ostffyter
"2040 Budaörs, Repülőtér (Kinizsi u. 4047/2 hrsz.) (mol)","Budaörs, Repülőtér",Budaörs,2040,mol,0,https://holtankoljak.net/mol_budaors_repuloterkinizsiu40472hrsz#tartalom
"5650 Mezőberény, Békési út (mol)","Mezőberény, Békési út",Mezőberény,5650,mol,0,https://holtankoljak.net/mol_Mezobereny_Bekesiut
"5000 Szolnok, Thököly út 91. (omv)","Szolnok, Thököly út 91.",Szolnok,5000,omv,0,https://holtankoljak.net/omv_Szolnok_Thokolyut91
"5700 Gyula, Temesvári út 3469/2 hrsz. (mol)","Gyula, Temesvári út 3469/2 hrsz.",Gyula,5700,mol,0,https://holtankoljak.net/mol_Gyula_Temesvariut34692hrsz
"2840 Oroszlány, Rákóczi Ferenc út 94/a (mol)","Oroszlány, Rákóczi Ferenc út 94/a",Oroszlány,2840,mol,0,https://holtankoljak.net/mol_Oroszlany_RakocziFerencut94a
"3561 Felsőzsolca, 3. sz. főút hrsz. 2034/14 (mol)","Felsőzsolca, 3. sz. főút hrsz. 2034/14",Felsőzsolca,3561,mol,0,https://holtankoljak.net/mol_Felsozsolca_3szfouthrsz203414
"7020 Dunaföldvár, 6-os út  (mol)","Dunaföldvár, 6-os út",Dunaföldvár,7020,mol,0,https://holtankoljak.net/mol_dunafoldvar_6-osut
"6640 Csongrád, Szentesi út (mol)","Csongrád, Szentesi út",Csongrád,6640,mol,0,https://holtankoljak.net/mol_Csongrad_Szentesiut
"4501 Kemecse, Szent István utca 35. (Hunpetrol)","Kemecse, Szent István utca 35.",Kemecse,4501,Hunpetrol,0,https://holtankoljak.net/Hunpetrol_Kemecse_SzentIstvanutca35
"5900 Orosháza, Elkerülő út (vásárhelyi út) (mol)","Orosháza, Elkerülő út",Orosháza,5900,mol,0,https://holtankoljak.net/mol_oroshaza_elkeruloutvasarhelyiut
"1164 Budapest XVI, Szabadföldi út 1. (omv)","Budapest XVI, Szabadföldi út 1.",Budapest XVI,1164,omv,0,https://holtankoljak.net/omv_budapest_xvi_szabadfoldiut1
"2081 Piliscsaba, 10-es fő út 1602/13. hrsz. (24. km) (mol)","Piliscsaba, 10-es fő út 1602/13. hrsz.",Piliscsaba,2081,mol,0,https://holtankoljak.net/mol_piliscsaba_10-esfout160213hrsz24km
"8840 Csurgó, Iharos út  (mol)","Csurgó, Iharos út",Csurgó,8840,mol,0,https://holtankoljak.net/mol_Csurgo_Iharosut
"8416 Dudar, Arany János utca 43. hrsz: 0133/7 (Magán kút)","Dudar, Arany János utca 43. hrsz: 0133/7",Dudar,8416,Magán kút,0,https://holtankoljak.net/magan_kut_dudar_aranyjanosutca43hrsz01337#tartalom
"8600 Siófok, Vak Bottyán u. 1. (omv)","Siófok, Vak Bottyán u. 1.",Siófok,8600,omv,0,https://holtankoljak.net/omv_Siofok_VakBottyanu1
"7100 Szekszárd, Keselyűsi út 120. (korrekt_kut_kft_)","Szekszárd, Keselyűsi út 120.",Szekszárd,7100,korrekt_kut_kft_,0,https://holtankoljak.net/korrekt_kut_kft__Szekszard_Keselyusiut120
"1106 Budapest X, Kerepesi út 61. (shell)","Budapest X, Kerepesi út 61.",Budapest X,1106,shell,0,https://holtankoljak.net/shell_budapest_x_kerepesiut61
"5600 Békéscsaba, Szarvasi út (mol)","Békéscsaba, Szarvasi út",Békéscsaba,5600,mol,0,https://holtankoljak.net/mol_Bekescsaba_Szarvasiut
"2890 Tata, Május 1. út (shell)","Tata, Május 1. út",Tata,2890,shell,0,https://holtankoljak.net/shell_Tata_Majus1ut
"6800 Hódmezővásárhely, Kopáncs 47-es számú főút (Mobil Petrol)","Hódmezővásárhely, Kopáncs 47-es számú főút",Hódmezővásárhely,6800,Mobil Petrol,0,https://holtankoljak.net/mobil_petrol_hodmezovasarhely_kopancs47-esszamufout
"2092 Budakeszi, Temető út (Hrsz.: 2405) (mol)","Budakeszi, Temető út",Budakeszi,2092,mol,0,https://holtankoljak.net/mol_budakeszi_temetouthrsz2405
"2932 Almásfüzitő, 020/16. hrsz. (oil)","Almásfüzitő, 020/16. hrsz.",Almásfüzitő,2932,oil,0,https://holtankoljak.net/oil_Almasfuzito_02016hrsz
"2040 Budaörs, Kinizsi út 1-3. (shell)","Budaörs, Kinizsi út 1-3.",Budaörs,2040,shell,0,https://holtankoljak.net/shell_budaors_kinizsiut1-3
"2045 Törökbálint, Torbágy u. 1. (auchan)","Törökbálint, Torbágy u. 1.",Törökbálint,2045,auchan,0,https://holtankoljak.net/auchan_Torokbalint_Torbagyu1
"7275 Igal, Szent István utca 187. (Tabol)","Igal, Szent István utca 187.",Igal,7275,Tabol,0,https://holtankoljak.net/tabol_kft__igal_szentistvanutca187
"6000 Kecskemét, Széchenyi krt.1. (magán)","Kecskemét, Széchenyi krt.1.",Kecskemét,6000,magán,0,https://holtankoljak.net/jo_ko_petrol_kft__kecskemet_szechenyikrt1
"3500 Miskolc, Győri kapu - Vologda u. sarok (Mobil Petrol)","Miskolc, Győri kapu - Vologda u. sarok",Miskolc,3500,Mobil Petrol,0,https://holtankoljak.net/mobil_petrol_miskolc_gyorikapu-vologdausarok
"8400 Ajka, Fő út (mobil-petrol)","Ajka, Fő út",Ajka,8400,mobil-petrol,0,https://holtankoljak.net/mobil-petrol_Ajka_Fout
"3528 Miskolc, Miskolci út 0235/72 hrsz. (avia)","Miskolc, Miskolci út 0235/72 hrsz.",Miskolc,3528,avia,0,https://holtankoljak.net/avia_Miskolc_Miskolciut023572hrsz
"5081 Szajol, 4.sz. főút 103 km (shell)","Szajol, 4.sz. főút 103 km",Szajol,5081,shell,0,https://holtankoljak.net/shell_Szajol_4szfout103km
"6821 Székkutas, Vásárhelyi út 320/3 hrsz. (edo)","Székkutas, Vásárhelyi út 320/3 hrsz.",Székkutas,6821,edo,0,https://holtankoljak.net/edo_Szekkutas_Vasarhelyiut3203hrsz
"3711 Szirmabesenyő, 0119/19 hrsz. (omv)","Szirmabesenyő, 0119/19 hrsz.",Szirmabesenyő,3711,omv,0,https://holtankoljak.net/omv_Szirmabesenyo_011919hrsz
"8800 Nagykanizsa, Balatoni út (shell)","Nagykanizsa, Balatoni út",Nagykanizsa,8800,shell,0,https://holtankoljak.net/shell_Nagykanizsa_Balatoniut
"4080 Hajdúnánás, Vihar Béla utca 2. (Grovi Kft.)","Hajdúnánás, Vihar Béla utca 2.",Hajdúnánás,4080,Grovi Kft.,0,https://holtankoljak.net/Grovi_Kft._Hajdunanas_ViharBelautca2
"7900 Szigetvár, József Attila u. 66.  (mol)","Szigetvár, József Attila u. 66.",Szigetvár,7900,mol,0,https://holtankoljak.net/mol_Szigetvar_JozsefAttilau66
"1026 Budapest II, Szilágyi E. fasor 125. (shell)","Budapest II, Szilágyi E. fasor 125.",Budapest II,1026,shell,0,https://holtankoljak.net/shell_budapest_ii_szilagyiefasor125
"5451 Öcsöd, Bem utca 1. (avia)","Öcsöd, Bem utca 1.",Öcsöd,5451,avia,0,https://holtankoljak.net/avia_ocsod_Bemutca1
"8200 Veszprém, Mártírok útja 15. (lukoil)","Veszprém, Mártírok útja 15.",Veszprém,8200,lukoil,0,https://holtankoljak.net/lukoil_Veszprem_Martirokutja15
"4485 Nagyhalász, Ibrányi út 22. (magán)","Nagyhalász, Ibrányi út 22.",Nagyhalász,4485,magán,0,https://holtankoljak.net/csernyik_pal_e_v__nagyhalasz_ibranyiut22
"8000 Székesfehérvár, Mártírok útja 13. (Szabi Kút)","Székesfehérvár, Mártírok útja 13.",Székesfehérvár,8000,Szabi Kút,0,https://holtankoljak.net/Szabi_Kut_Szekesfehervar_Martirokutja13
"5000 Szolnok, Tószegi út 18/A (mol)","Szolnok, Tószegi út 18/A",Szolnok,5000,mol,0,https://holtankoljak.net/mol_Szolnok_Toszegiut18A
"3400 Mezőkövesd, Egri út 51. (shell)","Mezőkövesd, Egri út 51.",Mezőkövesd,3400,shell,0,https://holtankoljak.net/shell_Mezokovesd_Egriut51
"3300 Eger, Sas út - Mátyás király u. 2. (omv)","Eger, Sas út - Mátyás király u. 2.",Eger,3300,omv,0,https://holtankoljak.net/omv_eger_sasut-matyaskiralyu2
"8600 Siófok, Töreki út 1. (lukoil)","Siófok, Töreki út 1.",Siófok,8600,lukoil,0,https://holtankoljak.net/lukoil_Siofok_Torekiut1
"7400 Kaposvár, Guba Sándor út 3628/28 HRSZ (mol)","Kaposvár, Guba Sándor út 3628/28 HRSZ",Kaposvár,7400,mol,0,https://holtankoljak.net/mol_Kaposvar_GubaSandorut362828HRSZ
"8000 Székesfehérvár, Olaj u. 1. (shell)","Székesfehérvár, Olaj u. 1.",Székesfehérvár,8000,shell,0,https://holtankoljak.net/shell_Szekesfehervar_Olaju1
"1101 Budapest X, Kőbányai út 56. (shell)","Budapest X, Kőbányai út 56.",Budapest X,1101,shell,0,https://holtankoljak.net/shell_budapest_x_kobanyaiut56
