Address with post code (Gas Stations),Address,City,Post Code,Franchise (or private),Highway,Link
"9400 Sopron, Lackner Kristóf u. 29. (omv)","Sopron, Lackner Kristóf u. 29.",Sopron,9400,omv,0,https://holtankoljak.net/omv_Sopron_LacknerKristofu29
"8440 Herend, 8. sz. Főút (shell)","Herend, 8. sz. Főút",Herend,8440,shell,0,https://holtankoljak.net/shell_Herend_8szFout
"3980 Sátoraljaújhely, Várhegy utca (mol)","Sátoraljaújhely, Várhegy utca",Sátoraljaújhely,3980,mol,0,https://holtankoljak.net/mol_Satoraljaujhely_Varhegyutca
"8710 Balatonszentgyörgy, Berzsenyi D. u. 54 (tele-tank)","Balatonszentgyörgy, Berzsenyi D. u. 54",Balatonszentgyörgy,8710,tele-tank,0,https://holtankoljak.net/tele-tank_Balatonszentgyorgy_BerzsenyiDu54
"7400 Kaposvár, Kanizsai u. külterület 031/7 (mol)","Kaposvár, Kanizsai u. külterület 031/7",Kaposvár,7400,mol,0,https://holtankoljak.net/mol_Kaposvar_Kanizsaiukulterulet0317
"1097 Budapest IX, Kén u. 1. (shell)","Budapest IX, Kén u. 1.",Budapest IX,1097,shell,0,https://holtankoljak.net/shell_budapest_ix_kenu1
"1112 Budapest XI, Budaörsi út 112. (omv)","Budapest XI, Budaörsi út 112.",Budapest XI,1112,omv,0,https://holtankoljak.net/omv_budapest_xi_budaorsiut112
"2510 Dorog, Bécsi út -Csolnoki út sarok hrsz.0279/8 (omv)","Dorog, Bécsi út -Csolnoki út sarok hrsz.0279/8",Dorog,2510,omv,0,https://holtankoljak.net/omv_dorog_becsiut-csolnokiutsarokhrsz02798
"6100 Kiskunfélegyháza, IX. körzet 8/B. (shell)","Kiskunfélegyháza, IX. körzet 8/B.",Kiskunfélegyháza,6100,shell,0,https://holtankoljak.net/shell_Kiskunfelegyhaza_IXkorzet8B
"3200 Gyöngyös, Pesti út 67. (mol)","Gyöngyös, Pesti út 67.",Gyöngyös,3200,mol,0,https://holtankoljak.net/mol_Gyongyos_Pestiut67
"7632 Pécs, Maléter Pál u. Hrsz. 21169 (mol)","Pécs, Maléter Pál u. Hrsz. 21169",Pécs,7632,mol,0,https://holtankoljak.net/mol_Pecs_MaleterPaluHrsz21169
"6000 Kecskemét, Bethlen krt.57-61. (shell)","Kecskemét, Bethlen krt.57-61.",Kecskemét,6000,shell,0,https://holtankoljak.net/shell_kecskemet_bethlenkrt57-61
"2072 Zsámbék, M1 autópálya (Észak) (Lukoil)","Zsámbék, M1 autópálya",Zsámbék,2072,Lukoil,1,https://holtankoljak.net/lukoil_zsambek_m1autopalyadel
"8400 Ajka, Fő út /Aranyvölgyi utca/  (mol)","Ajka, Fő út /Aranyvölgyi utca/",Ajka,8400,mol,0,https://holtankoljak.net/mol_Ajka_FoutAranyvolgyiutca
"9200 Mosonmagyaróvár, 1. számú főút (omv)","Mosonmagyaróvár, 1. számú főút",Mosonmagyaróvár,9200,omv,0,https://holtankoljak.net/omv_Mosonmagyarovar_1szamufout
"2890 Tata, Agostyáni út 78. (Zöld Út Kft.) (Magán kút)","Tata, Agostyáni út 78.",Tata,2890,Magán kút,0,https://holtankoljak.net/magan_kut_tata_agostyaniut78zoldutkft
"6600 Szentes, Attila út 4. (Attila út - Ipartelepi út körf.) (Mobil Petrol)","Szentes, Attila út 4.",Szentes,6600,Mobil Petrol,0,https://holtankoljak.net/mobil_petrol_szentes_attilaut4attilaut-ipartelepiutkorf
"3516 Miskolc, Pesti út 9. (auchan)","Miskolc, Pesti út 9.",Miskolc,3516,auchan,0,https://holtankoljak.net/auchan_Miskolc_Pestiut9
"3600 Ózd, Malom út 1. (Oranges Oil Company)","Ózd, Malom út 1.",Ózd,3600,Oranges Oil Company,0,https://holtankoljak.net/oranges_oil_company_ozd_malomut1
"9000 Győr, Domb u. 2-4. (shell)","Győr, Domb u. 2-4.",Győr,9000,shell,0,https://holtankoljak.net/shell_gyor_dombu2-4
"7600 Pécs, Siklósi út 45. (omv)","Pécs, Siklósi út 45.",Pécs,7600,omv,0,https://holtankoljak.net/omv_Pecs_Siklosiut45
