City_for_merge,lakasallomany,Kiskereskedelmiuzletek,munkanelkuliek1564,jarandosag,szjakepezojovegylakos,kulfoldreingazok,ivoviz,foglalkoztatottak1564,ezerlakosadozo,szemelygepkocsiezerlakos,gazdasagszam,ingazasikulonbozet,szjaalapperfo,helybenfoglalkoztatottak
Bajánsenye,518,63.0,5.7,31.1,1272,15.9,100.0,65.2,543,579.3,45.0,9.0,2342,27.0
Nemesrempehollós,523,70.0,8.3,30.3,1659,,99.3,50.0,479,407.7,18.0,71.0,3466,21.4
Pinkamindszent,663,,7.0,27.8,1754,8.8,100.0,61.0,480,597.6,8.0,77.0,3655,69.2
Őriszentpéter,473,89.0,5.0,36.3,1612,7.0,100.6,64.7,523,496.0,69.0,2.0,3081,38.7
Szarvaskend,541,,1.4,24.6,2046,,100.0,66.0,673,594.2,29.0,26.0,3042,55.3
Szatta,613,133.0,15.5,16.0,1494,4.2,89.1,62.1,537,600.0,14.0,71.0,2781,14.3
Döbörhegy,818,76.0,2.4,33.3,1261,,100.0,42.4,418,439.4,7.0,50.0,3016,45.0
Daraboshegy,750,114.0,9.2,31.8,1197,4.2,97.0,60.0,539,602.3,4.0,33.0,2220,53.3
Ivánc,325,43.0,1.2,27.2,1272,5.2,99.1,46.6,419,313.0,19.0,5.0,3036,42.5
Körmend,482,165.0,5.0,30.2,2004,10.5,98.6,62.8,526,473.6,167.0,0.0,3811,33.2
