City_for_merge,lakasallomany,Kiskereskedelmiuzletek,munkanelkuliek1564,jarandosag,szjakepezojovegylakos,kulfoldreingazok,ivoviz,foglalkoztatottak1564,ezerlakosadozo,szemelygepkocsiezerlakos,gazdasagszam,ingazasikulonbozet,szjaalapperfo,helybenfoglalkoztatottak
Hejőpapi,409,50.0,13.7,21.2,1197,,79.9,44.6,482,293.1,28.0,3.0,2481,39.5
Tiszatarján,363,108.0,12.5,17.3,1229,0.5,85.3,49.1,477,294.9,44.0,4.0,2579,19.8
Tiszakeszi,410,48.0,11.6,21.8,1374,,96.2,52.5,473,297.8,138.0,2.0,2904,16.5
Gelej,467,138.0,5.4,23.2,1294,,82.6,51.5,497,259.5,27.0,5.0,2607,36.0
Ároktő,466,68.0,13.0,22.6,766,,82.4,38.4,458,305.1,39.0,5.0,1671,8.2
Mezőcsát,430,132.0,14.5,22.8,1344,0.1,77.5,47.6,524,345.7,175.0,1.0,2564,18.6
Igrici,399,81.0,12.2,20.2,1263,,82.7,47.7,482,291.1,46.0,6.0,2619,22.3
Almáskamarás,607,108.0,10.4,27.7,1026,1.0,97.1,40.6,488,325.2,74.0,6.0,2102,10.8
Kisdombegyház,719,162.0,14.8,28.9,935,4.1,78.2,40.0,463,283.8,52.0,13.0,2019,38.0
Dombegyház,571,94.0,9.7,29.4,1107,11.4,85.0,47.9,473,325.9,247.0,1.0,2342,25.8
Magyarbánhegyes,563,128.0,12.4,28.6,1165,,100.0,45.9,480,306.6,222.0,2.0,2427,12.4
Kunágota,570,125.0,16.0,29.8,911,,91.4,39.1,446,302.2,406.0,2.0,2043,14.7
Mezőkovácsháza,523,168.0,9.5,32.5,1506,,91.9,51.7,521,367.0,305.0,0.0,2892,23.6
Kaszaper,513,117.0,10.5,26.0,1457,0.6,71.8,51.2,525,356.2,141.0,2.0,2772,18.4
Végegyháza,636,33.0,10.7,28.5,1188,,84.1,35.6,444,322.8,89.0,5.0,2675,22.5
Mezőhegyes,624,93.0,7.4,32.0,1526,0.2,76.0,56.1,499,342.1,167.0,1.0,3058,11.6
Nagykamarás,749,143.0,15.0,29.9,821,1.3,95.2,43.0,473,345.8,150.0,3.0,1735,11.1
Nagybánhegyes,727,111.0,10.8,35.5,1265,,75.8,47.0,531,443.7,199.0,3.0,2382,13.4
Medgyesbodzás,624,85.0,14.8,28.7,958,,94.7,39.6,482,311.4,118.0,5.0,1987,13.6
Medgyesegyháza,543,128.0,9.8,26.8,1184,0.4,94.6,51.2,496,351.3,326.0,1.0,2387,11.9
Kevermes,610,121.0,16.1,26.3,1082,5.3,100.0,36.2,449,262.6,218.0,3.0,2413,14.9
Dombiratos,902,108.0,15.3,33.0,971,2.6,85.3,33.5,449,299.3,82.0,11.0,2161,14.0
Pusztaottlaka,802,104.0,6.0,31.9,791,,94.4,34.0,386,302.1,56.0,9.0,2046,54.4
Battonya,557,109.0,11.5,22.7,949,22.0,93.3,44.6,398,303.2,390.0,1.0,2382,10.7
Magyardombegyház,1013,63.0,13.3,23.3,831,3.8,78.3,36.3,444,345.9,28.0,42.0,1870,37.5
Tard,514,54.0,7.3,31.0,1732,,98.8,50.7,530,418.5,46.0,6.0,3267,20.8
Bükkzsérc,562,44.0,8.7,32.3,1581,0.4,91.5,54.9,527,424.2,60.0,12.0,2999,11.0
Egerlövő,572,83.0,9.9,48.0,1497,,96.4,56.9,515,403.3,31.0,16.0,2904,21.0
Négyes,900,199.0,13.7,44.2,1405,,98.2,50.7,481,438.2,22.0,32.0,2921,16.1
Sály,471,21.0,18.3,24.5,765,,91.3,34.0,333,284.8,50.0,4.0,2298,17.2
Mezőnagymihály,530,74.0,8.8,25.3,1583,,89.0,50.4,500,381.9,57.0,6.0,3170,21.9
Kács,806,24.0,17.5,38.8,1444,1.1,84.5,43.0,454,455.6,24.0,23.0,3184,13.6
Bükkábrány,423,152.0,7.4,24.9,1884,0.4,96.1,55.5,538,401.2,35.0,1.0,3503,62.6
Borsodgeszt,727,165.0,8.2,32.6,1374,,87.5,48.7,473,458.7,41.0,23.0,2904,20.5
Szomolya,462,46.0,10.7,25.0,1249,0.3,96.1,47.6,442,305.9,59.0,5.0,2827,10.0
Mezőnyárád,425,93.0,7.6,23.1,1748,0.2,99.1,55.2,520,363.6,58.0,6.0,3361,24.9
Szentistván,478,54.0,11.0,30.0,1375,,95.5,51.1,461,371.0,79.0,2.0,2984,18.4
Cserépváralja,674,62.0,10.4,36.9,1819,,80.8,51.8,532,464.6,10.0,,3417,
Cserépfalu,611,70.0,6.5,27.7,1805,,89.1,61.2,535,387.8,58.0,6.0,3371,15.6
Vatta,436,35.0,10.7,25.3,1535,,85.3,46.0,505,350.0,18.0,10.0,3039,24.8
Tiszabábolna,891,99.0,8.5,31.6,1429,,100.0,49.8,481,342.1,23.0,12.0,2968,19.8
Tibolddaróc,537,87.0,7.6,27.2,1442,,91.1,49.1,481,380.0,100.0,6.0,2997,11.5
Tiszavalk,572,64.0,5.0,34.4,1471,,100.0,55.8,480,382.6,27.0,30.0,3063,9.1
Csincse,407,77.0,11.1,27.4,1623,,95.3,52.4,532,346.8,12.0,13.0,3050,28.0
Bogács,516,133.0,8.5,29.2,1292,,87.4,47.4,441,387.1,88.0,2.0,2932,32.0
Mezőkövesd,475,177.0,8.1,27.9,1797,0.6,90.6,57.8,494,396.2,256.0,0.0,3637,24.5
Borsodivánka,366,29.0,5.2,27.8,993,,96.0,53.4,386,275.3,18.0,3.0,2569,38.0
Mezőkeresztes,468,76.0,9.7,24.7,1414,0.2,95.8,48.5,472,353.2,169.0,1.0,2994,31.3
Mezőhék,475,29.0,10.1,28.1,1368,,76.8,48.4,463,330.4,103.0,3.0,2953,68.4
Mezőtúr,503,110.0,9.3,30.2,1502,1.1,98.2,52.7,501,365.6,572.0,0.0,2997,6.0
Kétpó,483,95.0,16.8,23.4,1492,,78.0,49.0,530,384.7,75.0,6.0,2814,25.9
Mesterszállás,599,110.0,9.7,30.4,1496,,93.5,50.5,539,445.1,99.0,6.0,2774,16.5
Túrkeve,510,136.0,11.3,28.8,1379,1.5,100.1,52.2,515,399.2,396.0,0.0,2677,5.3
Miskolc,526,139.0,10.0,28.3,1880,1.0,99.2,53.8,485,377.5,601.0,0.0,3880,31.3
Újcsanálos,417,38.0,10.8,18.1,1235,0.5,77.7,47.3,464,297.7,38.0,10.0,2665,16.7
Szirmabesenyő,399,68.0,7.2,26.3,2128,,92.3,57.7,522,460.0,50.0,2.0,4081,27.4
Hernádkak,352,44.0,10.5,17.1,1377,,97.5,49.2,508,398.9,61.0,4.0,2709,35.7
Felsőzsolca,346,52.0,8.6,25.1,1743,0.1,96.6,52.4,494,408.8,40.0,1.0,3528,57.0
Sajópálfala,411,29.0,9.6,26.4,1921,,83.6,54.5,530,437.9,12.0,16.0,3620,18.8
Onga,324,53.0,14.8,18.4,1532,,89.8,48.2,488,338.7,68.0,2.0,3140,27.6
Bőcs,369,55.0,8.5,21.9,1431,0.2,83.8,52.8,489,408.0,85.0,1.0,2926,47.3
Harsány,427,57.0,9.6,24.9,1724,0.4,99.5,51.9,512,394.8,76.0,4.0,3366,22.3
Varbó,373,37.0,7.6,27.0,1933,,97.5,49.7,553,431.6,84.0,9.0,3495,18.5
Sajóbábony,459,44.0,12.6,24.9,1411,0.2,86.0,48.0,421,323.9,43.0,1.0,3348,60.8
Répáshuta,448,48.0,11.2,35.5,1890,,95.7,48.7,511,438.8,11.0,19.0,3695,5.8
Alsózsolca,332,45.0,9.4,20.9,1388,0.2,85.8,49.4,461,319.5,35.0,1.0,3009,58.2
Sajóvámos,393,40.0,8.0,24.6,1842,,77.3,56.0,539,402.6,72.0,5.0,3418,18.8
Nyékládháza,375,82.0,9.0,26.4,1944,0.2,85.8,56.0,504,419.9,95.0,1.0,3855,39.4
Kondó,391,18.0,11.8,26.8,1713,,94.0,44.1,510,348.3,60.0,20.0,3358,16.3
Sajósenye,353,,8.9,24.8,1620,0.9,84.0,48.4,495,352.9,35.0,15.0,3272,38.5
Emőd,416,94.0,9.5,25.5,1575,0.2,90.0,51.6,487,349.4,84.0,1.0,3237,22.6
Gesztely,375,55.0,12.6,21.9,1244,,85.5,48.8,438,359.3,95.0,2.0,2841,29.3
Berzék,314,45.0,14.4,17.9,1183,,86.2,39.4,470,268.1,16.0,9.0,2517,26.5
Sajóhídvég,321,39.0,13.8,17.7,804,0.7,71.6,36.7,367,244.7,20.0,8.0,2191,24.0
Sajólád,346,42.0,12.5,20.2,1341,,82.4,46.1,467,336.2,29.0,3.0,2871,27.6
Hernádnémeti,345,62.0,12.5,21.7,1361,,83.1,46.3,457,341.3,82.0,2.0,2976,27.2
Sajópetri,364,53.0,11.1,20.3,1157,,77.5,45.5,434,350.9,11.0,7.0,2664,27.3
Mályi,364,103.0,9.9,24.1,2177,0.2,79.1,54.4,530,441.9,59.0,1.0,4106,43.5
Radostyán,413,56.0,13.9,28.3,1530,0.7,96.4,44.3,481,360.6,27.0,14.0,3181,35.2
Sajóecseg,414,10.0,7.7,25.0,2100,,99.5,57.4,530,422.0,20.0,5.0,3962,53.1
Sóstófalva,566,51.0,12.3,24.7,1120,,74.1,41.1,504,292.9,13.0,34.0,2222,24.1
Kisgyőr,409,25.0,13.1,23.5,1517,,98.9,47.0,489,366.7,55.0,6.0,3106,12.2
Bükkszentkereszt,449,86.0,9.4,25.5,1899,0.3,95.8,56.6,514,395.9,14.0,6.0,3696,9.6
Kistokaj,342,85.0,9.4,18.5,2585,,96.4,58.3,538,441.2,24.0,2.0,4803,59.2
Köröm,268,24.0,17.4,10.9,448,,49.1,29.1,313,157.5,9.0,6.0,1432,26.1
Sajókeresztúr,385,27.0,9.1,25.1,1662,,98.4,54.1,485,383.9,38.0,3.0,3425,63.3
Parasznya,408,37.0,10.4,24.3,1550,,89.7,46.0,476,344.8,19.0,6.0,3259,34.3
Sajókápolna,412,26.0,14.6,26.0,1734,,90.4,40.8,556,409.4,15.0,27.0,3120,40.5
Sajólászlófalva,379,24.0,9.8,22.4,1505,,92.5,53.0,535,376.2,17.0,29.0,2815,40.0
Ónod,359,62.0,11.2,20.6,1242,0.2,54.8,42.5,458,295.0,25.0,4.0,2713,25.4
Arnót,361,22.0,9.3,26.3,1914,,94.9,56.2,505,435.3,45.0,2.0,3792,45.9
Bükkaranyos,367,41.0,12.4,20.0,1682,,92.8,49.7,496,352.5,38.0,7.0,3390,17.4
Bár,412,52.0,7.4,25.6,1379,,90.8,52.6,437,375.4,13.0,8.0,3158,43.4
Sárok,580,,17.8,21.4,1160,,86.2,51.1,463,428.6,12.0,48.0,2506,38.1
Udvar,615,367.0,8.3,45.9,1331,,86.6,51.2,485,724.8,16.0,11.0,2743,83.2
Palotabozsok,469,23.0,9.2,31.7,1345,1.5,96.8,52.6,425,435.2,159.0,5.0,3164,22.5
Székelyszabar,463,75.0,13.9,26.3,1117,0.8,98.8,48.7,395,404.9,30.0,14.0,2825,26.0
Sátorhely,433,89.0,14.2,25.6,1440,,96.7,56.0,479,400.7,12.0,5.0,3008,44.5
Véménd,462,63.0,12.0,28.1,1092,1.6,100.0,47.4,399,398.1,84.0,4.0,2737,18.9
Görcsönydoboka,541,30.0,5.6,30.7,1417,,86.0,53.0,457,501.5,53.0,18.0,3100,12.3
Mohács,506,177.0,11.0,30.7,1493,1.4,86.2,54.0,458,411.0,309.0,0.0,3262,24.1
Nagynyárád,447,28.0,8.2,27.1,1395,1.5,98.1,53.6,466,455.7,78.0,12.0,2995,13.6
Himesháza,429,57.0,9.6,28.9,1321,0.5,98.2,58.2,455,443.3,45.0,5.0,2905,17.8
Bezedek,591,114.0,15.3,34.7,1119,,90.4,48.8,484,539.8,27.0,38.0,2313,7.7
Kölked,389,61.0,12.7,28.0,909,3.6,88.5,44.4,393,301.2,41.0,5.0,2315,25.4
Szebény,703,36.0,16.5,30.1,962,,94.8,42.6,390,347.8,13.0,8.0,2463,43.2
Lippó,461,22.0,8.8,34.5,1534,,96.1,57.9,511,481.0,48.0,5.0,3004,48.3
Ivándárda,565,109.0,6.9,36.4,1162,1.5,97.1,51.6,473,516.3,27.0,77.0,2458,15.4
Erdősmárok,482,,14.8,27.1,896,,100.0,44.3,371,470.6,7.0,91.0,2413,18.2
Kisnyárád,692,,12.9,31.4,878,,76.9,36.3,339,480.8,8.0,67.0,2592,20.0
Maráza,629,120.0,13.2,36.5,886,,100.0,39.5,388,532.9,11.0,,2283,
Homorúd,760,77.0,11.1,31.3,946,1.4,81.0,46.3,427,369.2,71.0,9.0,2217,6.9
Somberek,391,53.0,6.7,38.2,1388,2.1,99.0,55.7,442,458.9,73.0,3.0,3141,20.9
Lánycsók,368,76.0,11.2,27.7,1439,2.4,100.0,53.6,470,460.2,74.0,2.0,3063,20.6
Majs,458,81.0,9.3,29.7,1238,0.5,95.2,53.1,473,386.5,42.0,5.0,2614,23.1
Dunaszekcső,517,73.0,7.4,30.3,1122,3.0,99.9,45.9,376,370.7,76.0,3.0,2986,13.3
Feked,548,51.0,13.3,23.4,1522,,100.0,55.2,395,604.1,13.0,31.0,3855,31.3
Szűr,534,46.0,29.8,27.9,1178,4.5,100.0,43.8,469,479.5,12.0,32.0,2513,16.1
Monorierdő,356,86.0,9.2,20.5,1868,0.2,101.8,56.7,529,392.4,20.0,2.0,3533,34.3
Pilis,383,96.0,9.7,21.8,1682,0.3,72.8,54.4,494,424.5,241.0,1.0,3402,15.5
Pánd,375,67.0,12.0,21.8,1428,,95.9,46.4,468,326.7,32.0,5.0,3050,18.1
Káva,440,58.0,12.3,21.9,1972,,99.0,47.2,532,363.0,18.0,20.0,3710,36.0
Gyömrő,342,103.0,8.1,18.6,2223,0.3,100.0,59.2,516,371.7,67.0,0.0,4309,20.4
Vasad,394,46.0,6.6,20.8,1838,,77.6,59.8,529,461.4,161.0,3.0,3476,39.5
Nyáregyháza,395,48.0,8.7,20.9,1775,,93.8,56.1,538,451.2,92.0,2.0,3299,18.8
Péteri,327,37.0,8.4,17.9,1960,,93.6,58.0,541,410.8,41.0,4.0,3624,22.4
Bénye,413,40.0,7.9,23.3,1844,0.5,93.2,62.2,541,356.3,30.0,10.0,3408,21.9
Monor,378,132.0,8.0,22.4,1998,0.3,86.0,58.6,526,411.0,157.0,0.0,3798,34.1
Csévharaszt,359,45.0,7.6,20.2,2054,,100.3,59.1,597,479.9,39.0,2.0,3440,50.1
Gomba,345,75.0,7.5,21.3,1913,,100.5,57.0,539,378.6,99.0,3.0,3552,20.5
Forráskút,465,91.0,7.2,24.1,1202,,59.3,52.5,521,416.1,338.0,2.0,2305,17.1
Pusztamérges,634,93.0,5.1,32.7,1125,,69.7,51.2,440,457.9,129.0,3.0,2560,19.9
Ásotthalom,513,56.0,7.6,26.7,1220,0.2,48.0,46.2,460,416.2,390.0,1.0,2650,17.1
Zákányszék,525,88.0,5.9,23.8,1093,0.2,44.5,61.8,512,468.8,542.0,1.0,2133,10.7
Üllés,493,93.0,7.0,27.7,1430,,68.1,56.4,502,442.5,436.0,1.0,2847,12.5
Mórahalom,426,112.0,6.3,23.6,1403,0.1,78.3,60.5,522,422.1,664.0,0.0,2689,30.2
Öttömös,604,76.0,3.5,30.7,999,,48.0,49.6,450,456.8,100.0,6.0,2218,9.4
Zsombó,422,62.0,8.4,22.2,1633,0.1,87.8,58.9,531,500.1,283.0,1.0,3076,23.1
Bordány,452,84.0,6.8,23.5,1380,,65.3,58.4,518,440.5,374.0,1.0,2662,14.6
Ruzsa,566,120.0,6.9,29.9,1129,0.3,44.1,51.9,457,461.5,511.0,2.0,2470,11.8
Csákberény,470,62.0,6.7,25.7,2081,0.3,100.4,58.5,534,474.3,42.0,7.0,3896,19.3
Bodajk,401,96.0,6.6,24.7,2175,0.2,100.1,57.8,539,422.2,30.0,2.0,4038,28.8
Kincsesbánya,437,50.0,6.2,26.6,1990,0.4,100.0,60.8,533,443.2,5.0,3.0,3733,45.2
Isztimér,401,42.0,4.5,23.0,2121,,99.5,60.5,528,394.9,34.0,7.0,4014,26.6
Nagyveleg,415,31.0,5.9,23.5,1924,,100.0,64.5,548,418.3,47.0,23.0,3508,18.2
Söréd,379,18.0,5.0,19.5,2495,,100.9,64.0,588,423.0,17.0,27.0,4244,16.2
Magyaralmás,385,18.0,5.1,22.5,2281,0.4,97.9,63.0,572,440.0,47.0,5.0,3990,20.7
Bakonycsernye,401,89.0,7.5,27.4,1964,0.2,99.1,57.3,539,429.5,82.0,3.0,3645,10.2
Balinka,437,58.0,8.4,25.7,1661,,100.0,59.9,498,369.8,45.0,10.0,3337,44.2
Mór,426,156.0,5.7,27.2,2177,1.3,100.0,62.5,530,446.5,260.0,0.0,4104,37.2
Pusztavám,386,39.0,5.4,24.4,1971,0.6,100.2,62.7,522,416.2,28.0,1.0,3777,51.3
Csókakő,353,45.0,5.9,25.5,2106,0.5,100.5,61.3,516,428.9,47.0,5.0,4084,34.9
Fehérvárcsurgó,373,63.0,8.0,24.2,2116,0.2,100.5,58.6,562,456.0,52.0,3.0,3767,38.1
Lébény,384,53.0,3.2,21.9,2120,4.9,100.9,66.2,543,396.6,80.0,1.0,3903,41.2
Rajka,419,31.0,3.2,8.0,419,56.2,101.8,67.9,127,146.9,43.0,1.0,3301,43.2
Levél,349,71.0,4.2,15.5,1312,25.4,101.8,64.2,401,422.7,20.0,4.0,3268,28.5
Feketeerdő,347,30.0,2.0,15.1,1332,25.0,100.4,72.8,387,434.3,15.0,15.0,3441,32.4
Dunasziget,357,16.0,4.0,17.6,1171,23.5,100.1,63.3,401,418.7,90.0,5.0,2922,8.8
Károlyháza,276,66.0,5.6,12.7,1817,9.0,100.0,64.1,527,401.7,3.0,16.0,3447,32.8
Újrónafő,355,11.0,4.1,18.5,1341,16.7,98.5,66.2,401,412.1,25.0,8.0,3343,40.5
Kisbodak,509,30.0,4.3,27.1,1315,11.8,100.6,62.1,461,604.2,13.0,23.0,2850,18.2
Mosonudvar,377,50.0,1.9,25.1,1676,4.7,99.3,69.6,498,558.3,2.0,4.0,3368,76.2
Kimle,415,50.0,3.5,22.2,1556,24.9,101.1,62.8,484,519.3,46.0,2.0,3217,35.8
Jánossomorja,368,93.0,4.2,20.8,1601,36.0,100.1,65.4,466,473.8,119.0,0.0,3433,37.5
Halászi,358,65.0,3.3,20.3,1580,20.0,100.7,64.0,481,466.0,114.0,1.0,3283,36.6
Püski,389,15.0,2.6,22.7,1581,13.9,98.1,63.0,504,434.0,16.0,9.0,3138,27.6
Ásványráró,391,75.0,4.2,22.2,1773,6.6,101.0,62.0,495,435.6,34.0,3.0,3584,22.3
Hédervár,370,60.0,3.8,19.6,1939,10.0,100.8,64.1,519,466.4,25.0,6.0,3734,31.6
Bezenye,414,43.0,5.1,23.1,865,34.0,95.7,60.5,317,398.0,51.0,6.0,2725,22.5
Máriakálnok,319,49.0,4.7,18.8,1474,24.5,100.3,63.7,451,511.7,42.0,5.0,3266,41.9
Dunakiliti,359,40.0,3.8,18.1,1202,39.1,100.9,70.6,388,404.4,80.0,1.0,3102,68.3
Dunaremete,420,73.0,2.4,20.8,1914,12.3,100.9,64.1,496,510.9,9.0,20.0,3857,26.5
Mosonszolnok,346,39.0,3.6,19.3,1564,35.9,99.0,65.1,479,455.5,62.0,0.0,3265,82.7
Mosonmagyaróvár,456,172.0,4.7,22.5,1735,36.0,101.0,65.2,482,437.0,122.0,0.0,3601,33.5
Hegyeshalom,403,75.0,5.4,20.2,1201,33.8,91.9,62.2,368,433.9,44.0,1.0,3268,42.5
Várbalog,639,102.0,5.2,24.0,1348,18.8,100.0,62.3,399,427.1,33.0,20.0,3377,21.6
Darnózseli,382,49.0,3.5,22.5,1748,12.6,100.7,63.5,513,470.6,55.0,3.0,3406,31.2
Lipót,356,146.0,2.4,22.6,1569,15.0,101.7,71.0,460,469.7,16.0,4.0,3412,51.0
Mecsér,442,61.0,5.1,20.2,2178,4.9,100.0,62.7,533,468.1,27.0,14.0,4085,16.4
Kutas,386,74.0,6.7,25.9,1119,,91.0,43.1,413,353.8,130.0,4.0,2708,27.4
Görgeteg,414,76.0,14.6,23.4,894,,96.3,35.9,424,300.0,51.0,6.0,2110,24.4
Beleg,440,137.0,15.8,20.9,910,,98.7,33.3,420,297.5,17.0,13.0,2169,21.3
Kaszó,810,119.0,12.5,40.5,1300,,100.0,48.8,512,678.6,8.0,5.0,2540,85.1
Nagykorpád,447,61.0,10.9,19.5,999,,100.0,35.5,443,346.3,17.0,15.0,2256,31.3
Ötvöskónyi,348,35.0,8.2,18.7,860,0.6,99.7,34.9,368,288.1,66.0,11.0,2334,23.6
Somogyszob,462,29.0,7.2,30.4,1587,0.3,98.4,55.4,500,406.1,56.0,3.0,3176,31.2
Rinyabesenyő,365,,18.5,10.5,715,,85.1,16.2,432,220.0,12.0,56.0,1654,27.8
Kisbajom,497,116.0,14.0,22.3,657,,51.7,26.9,413,1722.5,14.0,23.0,1591,20.9
Szabás,316,51.0,13.3,21.0,938,,100.0,36.5,434,251.3,26.0,12.0,2162,9.5
Nagyatád,522,202.0,7.0,33.0,1720,1.0,100.0,58.9,507,451.6,169.0,0.0,3393,28.3
Bolhás,474,26.0,16.2,27.1,1016,,98.4,41.4,495,384.0,34.0,30.0,2053,21.2
Bakháza,599,,11.6,33.8,968,,97.6,43.0,453,338.0,18.0,50.0,2138,15.0
Segesd,411,69.0,12.5,35.4,1145,,97.4,44.3,413,327.9,90.0,1.0,2771,24.4
Lábod,425,80.0,14.7,27.3,1128,0.3,98.5,44.5,431,401.8,79.0,3.0,2616,22.8
Háromfa,474,44.0,6.0,24.1,985,,100.0,49.7,438,280.7,49.0,6.0,2249,14.9
Rinyaszentkirály,396,26.0,13.4,20.1,864,,51.3,27.1,386,255.2,18.0,32.0,2240,16.1
Tarany,419,45.0,14.0,23.0,977,,97.8,45.0,446,322.2,63.0,6.0,2190,20.0
Szakoly,388,86.0,7.9,21.6,1267,0.3,96.3,50.8,507,355.4,216.0,1.0,2502,10.5
Nagykálló,408,135.0,11.6,25.1,1471,0.3,96.6,50.7,505,406.1,303.0,0.0,2915,29.5
Kállósemjén,449,129.0,10.2,23.9,1340,,89.0,50.7,518,463.7,224.0,2.0,2585,11.8
Érpatak,413,50.0,14.7,18.8,922,,86.8,38.3,419,315.9,119.0,4.0,2203,31.7
Bököny,420,101.0,10.3,22.8,885,,93.6,37.6,431,307.3,217.0,2.0,2054,7.7
Geszteréd,466,100.0,10.2,24.9,1235,,93.6,42.6,508,378.1,256.0,4.0,2429,9.0
Biri,369,65.0,11.9,20.6,1351,,97.6,47.4,543,333.8,120.0,3.0,2487,25.7
Balkány,408,120.0,10.9,20.9,1265,0.1,85.6,48.2,517,364.8,442.0,1.0,2444,14.5
Pölöskefő,444,27.0,5.0,28.1,1142,0.9,94.5,55.8,430,348.8,22.0,23.0,2659,22.7
Nagyrada,437,65.0,1.3,22.4,1298,,100.0,58.7,473,454.3,28.0,14.0,2744,38.6
Gelse,425,47.0,8.3,25.4,1554,0.3,96.9,60.3,525,390.7,28.0,4.0,2959,30.0
Murakeresztúr,465,67.0,7.3,29.3,1560,0.7,96.7,57.1,504,440.4,58.0,3.0,3096,25.2
Garabonc,419,63.0,8.4,24.7,919,0.6,100.0,51.2,433,382.7,35.0,10.0,2121,29.3
Nagykanizsa,508,173.0,7.6,31.1,1709,4.8,98.7,61.0,492,440.5,631.0,0.0,3471,25.5
Újudvar,398,54.0,6.1,23.2,1600,1.3,91.6,61.1,526,480.7,42.0,5.0,3041,39.8
Zalamerenye,757,54.0,7.4,30.8,948,3.1,98.6,45.3,367,373.0,10.0,77.0,2585,38.5
Nagybakónak,602,28.0,17.6,22.6,1304,,100.0,51.1,497,381.6,16.0,29.0,2621,20.6
Zalaszabar,491,81.0,9.0,23.5,1146,0.6,100.0,58.2,438,486.8,31.0,11.0,2618,36.4
Miháld,530,74.0,8.6,26.0,994,,95.5,52.7,425,445.3,64.0,9.0,2341,20.5
Hosszúvölgy,467,,5.1,25.5,1364,1.6,100.0,58.5,472,472.7,11.0,111.0,2890,11.1
Pötréte,614,80.0,11.0,27.5,1075,,97.4,55.5,396,470.1,33.0,10.0,2715,77.7
Kacorlak,526,,3.3,31.0,1353,,98.9,59.0,473,532.2,27.0,43.0,2863,13.0
Gelsesziget,402,38.0,10.2,18.9,1475,2.1,100.0,57.4,474,450.8,7.0,53.0,3110,15.8
Kilimán,422,43.0,10.0,24.3,1154,,100.0,60.7,485,382.6,12.0,8.0,2379,80.5
Zalakomár,380,68.0,10.7,21.3,747,0.2,89.5,42.6,359,278.9,57.0,2.0,2078,26.1
Belezna,436,46.0,8.0,31.1,1360,1.1,100.0,54.4,494,460.4,74.0,10.0,2753,14.6
Zalasárszeg,504,,22.6,24.8,1104,,70.2,44.0,439,522.1,13.0,36.0,2514,57.1
Magyarszentmiklós,453,44.0,4.6,31.1,1615,2.1,100.0,64.2,522,564.4,13.0,43.0,3092,34.8
Kerecseny,739,,11.3,19.1,714,,81.6,33.1,406,276.4,11.0,77.0,1760,38.5
Surd,424,36.0,9.2,25.4,1324,,100.0,59.8,504,515.2,119.0,11.0,2627,9.5
Felsőrajk,421,51.0,7.6,19.9,1323,0.5,92.1,60.4,481,364.8,29.0,5.0,2749,40.3
Magyarszerdahely,374,68.0,6.0,31.7,1457,1.7,100.0,64.8,512,458.9,51.0,5.0,2847,44.1
Kisrécse,537,57.0,20.2,20.0,1041,,92.6,47.1,400,497.1,8.0,42.0,2602,29.2
Bocska,511,,10.5,26.1,1000,1.0,82.2,52.7,432,473.5,23.0,36.0,2316,32.1
Orosztony,617,28.0,12.0,23.4,932,,91.3,47.5,398,436.6,25.0,18.0,2340,14.3
Balatonmagyaród,700,135.0,4.4,41.1,1090,1.4,93.8,57.9,398,516.2,17.0,11.0,2740,8.0
Sand,573,86.0,7.1,34.1,998,,99.0,58.2,432,412.6,34.0,19.0,2313,17.0
Rigyác,363,,10.0,26.8,1342,,100.0,62.9,489,446.1,29.0,,2744,
Liszó,468,28.0,9.9,28.0,1538,,100.0,59.7,466,456.6,23.0,23.0,3300,11.6
Zalaszentjakab,553,37.0,4.0,19.0,880,,91.4,54.8,436,318.7,8.0,21.0,2016,10.6
Homokkomárom,444,,5.3,23.7,1277,2.1,97.7,47.3,483,414.1,25.0,37.0,2644,14.8
Hahót,523,53.0,11.0,31.9,1451,0.7,99.8,57.2,467,451.5,75.0,6.0,3105,25.8
Zalaszentbalázs,403,35.0,6.9,26.9,1463,2.7,100.0,59.4,496,398.4,43.0,7.0,2951,20.7
Fűzvölgy,509,,6.4,34.5,1562,,96.6,56.4,526,629.3,16.0,14.0,2968,84.3
Börzönce,603,,15.6,25.9,442,,97.1,28.1,320,172.4,9.0,,1382,
Eszteregnye,447,47.0,7.7,27.2,1608,1.3,97.2,60.8,516,455.3,38.0,7.0,3116,53.7
Galambok,452,65.0,5.8,18.5,1052,1.8,93.0,49.5,415,417.3,54.0,4.0,2533,35.7
Nagyrécse,386,38.0,5.9,23.9,1867,1.2,98.3,63.6,524,498.6,45.0,5.0,3562,38.4
Alsórajk,480,28.0,8.8,22.2,1130,,94.1,58.8,450,409.1,19.0,21.0,2510,43.8
Csapi,301,,3.6,13.4,1169,,100.0,37.4,418,264.5,20.0,12.0,2793,61.0
Fityeház,393,47.0,6.9,28.6,1700,,100.0,58.8,507,434.8,20.0,21.0,3352,25.5
Szepetnek,359,33.0,6.7,28.9,1399,0.8,98.9,61.9,484,388.7,40.0,4.0,2890,31.7
Nemespátró,668,41.0,4.2,26.1,1306,,100.0,50.8,494,452.3,49.0,24.0,2642,14.6
Zalakaros,465,206.0,5.1,23.0,1260,4.7,100.1,62.2,428,531.3,62.0,1.0,2947,65.4
